minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
936,091400_1..S02R,local,Tuesday,1458675624,1458676314,False
936,091900_1..S02R,local,Tuesday,1458675896,1458676586,False
936,092400_1..S02R,local,Tuesday,1458676256,1458676946,False
936,092900_1..S02R,local,Tuesday,1458676471,1458677161,False
936,093400_1..S02R,local,Tuesday,1458676821,1458677511,False
936,089050_2..S01R,express,Tuesday,1458675702,1458676122,False
936,089800_2..S01R,express,Tuesday,1458676237,1458676657,False
936,090550_2..S01R,express,Tuesday,1458676626,1458677046,False
936,091350_2..S01R,express,Tuesday,1458677026,1458677446,False
936,092300_2..S01R,express,Tuesday,1458677313,1458677733,False
936,092950_2..S01R,express,Tuesday,1458677555,1458678005,False
936,092200_3..S01R,express,Tuesday,1458675386,1458675836,False
936,092750_3..S01R,express,Tuesday,1458675384,1458676012,False
936,093600_3..S01R,express,Tuesday,1458676263,1458676683,False
937,091400_1..S02R,local,Tuesday,1458675621,1458676311,True
937,091900_1..S02R,local,Tuesday,1458675910,1458676600,True
937,092400_1..S02R,local,Tuesday,1458676239,1458676929,True
937,092900_1..S02R,local,Tuesday,1458676527,1458677217,True
937,093400_1..S02R,local,Tuesday,1458676835,1458677525,True
937,089050_2..S01R,express,Tuesday,1458675446,1458676136,False
937,089800_2..S01R,express,Tuesday,1458676245,1458676665,False
937,090550_2..S01R,express,Tuesday,1458676644,1458677064,False
937,091350_2..S01R,express,Tuesday,1458677014,1458677434,False
937,092300_2..S01R,express,Tuesday,1458677313,1458677733,False
937,092950_2..S01R,express,Tuesday,1458677564,1458678014,False
937,092200_3..S01R,express,Tuesday,1458675386,1458675836,False
937,092750_3..S01R,express,Tuesday,1458675440,1458676012,False
937,093600_3..S01R,express,Tuesday,1458676217,1458676637,False
938,091400_1..S02R,local,Tuesday,1458675652,1458676342,True
938,091900_1..S02R,local,Tuesday,1458675904,1458676594,True
938,092400_1..S02R,local,Tuesday,1458676259,1458676949,True
938,092900_1..S02R,local,Tuesday,1458676507,1458677197,True
938,093400_1..S02R,local,Tuesday,1458676830,1458677520,True
938,093900_1..S02R,local,Tuesday,1458677083,1458677773,True
938,089050_2..S01R,express,Tuesday,1458675516,1458676136,False
938,089800_2..S01R,express,Tuesday,1458676295,1458676715,False
938,090550_2..S01R,express,Tuesday,1458676667,1458677087,False
938,091350_2..S01R,express,Tuesday,1458677032,1458677452,False
938,092300_2..S01R,express,Tuesday,1458677370,1458677790,False
938,092950_2..S01R,express,Tuesday,1458677555,1458678005,False
938,093800_2..S01R,express,Tuesday,1458678264,1458678714,False
938,092750_3..S01R,express,Tuesday,1458675521,1458675971,False
938,093600_3..S01R,express,Tuesday,1458676217,1458676637,False
939,091400_1..S02R,local,Tuesday,1458675560,1458676356,False
939,091900_1..S02R,local,Tuesday,1458675904,1458676594,False
939,092400_1..S02R,local,Tuesday,1458676249,1458676939,False
939,092900_1..S02R,local,Tuesday,1458676523,1458677213,False
939,093400_1..S02R,local,Tuesday,1458676830,1458677520,False
939,093900_1..S02R,local,Tuesday,1458677059,1458677749,False
939,089050_2..S01R,express,Tuesday,1458675561,1458676136,False
939,089800_2..S01R,express,Tuesday,1458676295,1458676715,False
939,090550_2..S01R,express,Tuesday,1458676669,1458677089,False
939,091350_2..S01R,express,Tuesday,1458676992,1458677412,False
939,092300_2..S01R,express,Tuesday,1458677377,1458677797,False
939,092950_2..S01R,express,Tuesday,1458677516,1458677966,False
939,093800_2..S01R,express,Tuesday,1458678239,1458678689,False
939,092750_3..S01R,express,Tuesday,1458675521,1458675971,False
939,093600_3..S01R,express,Tuesday,1458676196,1458676616,False
940,091400_1..S02R,local,Tuesday,1458675615,1458676345,False
940,091900_1..S02R,local,Tuesday,1458675848,1458676538,False
940,092400_1..S02R,local,Tuesday,1458676271,1458676961,False
940,092900_1..S02R,local,Tuesday,1458676509,1458677199,False
940,093400_1..S02R,local,Tuesday,1458676844,1458677534,False
940,093900_1..S02R,local,Tuesday,1458677062,1458677752,False
940,089050_2..S01R,express,Tuesday,1458675603,1458676136,False
940,089800_2..S01R,express,Tuesday,1458676329,1458676749,False
940,090550_2..S01R,express,Tuesday,1458676694,1458677114,False
940,091350_2..S01R,express,Tuesday,1458677006,1458677426,False
940,092300_2..S01R,express,Tuesday,1458677408,1458677828,False
940,092950_2..S01R,express,Tuesday,1458677532,1458677982,False
940,093800_2..S01R,express,Tuesday,1458678168,1458678618,False
940,093600_3..S01R,express,Tuesday,1458676176,1458676596,False
941,091400_1..S02R,local,Tuesday,1458675623,1458676343,True
941,091900_1..S02R,local,Tuesday,1458675848,1458676538,True
941,092400_1..S02R,local,Tuesday,1458676249,1458676939,True
941,092900_1..S02R,local,Tuesday,1458676531,1458677221,True
941,093400_1..S02R,local,Tuesday,1458676847,1458677537,True
941,093900_1..S02R,local,Tuesday,1458677068,1458677758,True
941,089050_2..S01R,express,Tuesday,1458675639,1458676089,False
941,089800_2..S01R,express,Tuesday,1458676354,1458676774,False
941,090550_2..S01R,express,Tuesday,1458676681,1458677101,False
941,091350_2..S01R,express,Tuesday,1458676991,1458677411,False
941,092300_2..S01R,express,Tuesday,1458677411,1458677831,False
941,092950_2..S01R,express,Tuesday,1458677511,1458677961,False
941,093800_2..S01R,express,Tuesday,1458678165,1458678615,False
941,093600_3..S01R,express,Tuesday,1458676195,1458676615,False
942,091900_1..S02R,local,Tuesday,1458675945,1458676635,False
942,092400_1..S02R,local,Tuesday,1458676248,1458676938,False
942,092900_1..S02R,local,Tuesday,1458676527,1458677217,False
942,093400_1..S02R,local,Tuesday,1458676848,1458677538,False
942,093900_1..S02R,local,Tuesday,1458677057,1458677747,False
942,094400_1..S02R,local,Tuesday,1458677430,1458678120,False
942,089800_2..S01R,express,Tuesday,1458676303,1458676723,False
942,090550_2..S01R,express,Tuesday,1458676710,1458677130,False
942,091350_2..S01R,express,Tuesday,1458677002,1458677422,False
942,092300_2..S01R,express,Tuesday,1458677436,1458677856,False
942,092950_2..S01R,express,Tuesday,1458677510,1458677960,False
942,093800_2..S01R,express,Tuesday,1458678141,1458678591,False
942,093600_3..S01R,express,Tuesday,1458676170,1458676590,False
943,091900_1..S02R,local,Tuesday,1458675945,1458676635,True
943,092400_1..S02R,local,Tuesday,1458676275,1458676965,True
943,092900_1..S02R,local,Tuesday,1458676517,1458677207,True
943,093400_1..S02R,local,Tuesday,1458676868,1458677558,True
943,093900_1..S02R,local,Tuesday,1458677054,1458677744,True
943,094400_1..S02R,local,Tuesday,1458677340,1458678030,True
943,089800_2..S01R,express,Tuesday,1458676334,1458676754,False
943,090550_2..S01R,express,Tuesday,1458676684,1458677104,False
943,091350_2..S01R,express,Tuesday,1458677022,1458677442,False
943,092300_2..S01R,express,Tuesday,1458677399,1458677819,False
943,092950_2..S01R,express,Tuesday,1458677510,1458677960,False
943,093800_2..S01R,express,Tuesday,1458678155,1458678605,False
943,093600_3..S01R,express,Tuesday,1458676155,1458676575,False
944,091900_1..S02R,local,Tuesday,1458676001,1458676691,True
944,092400_1..S02R,local,Tuesday,1458676260,1458676950,True
944,092900_1..S02R,local,Tuesday,1458676534,1458677224,True
944,093400_1..S02R,local,Tuesday,1458676850,1458677540,True
944,093900_1..S02R,local,Tuesday,1458677071,1458677761,True
944,094400_1..S02R,local,Tuesday,1458677357,1458678047,True
944,089800_2..S01R,express,Tuesday,1458676294,1458676714,False
944,090550_2..S01R,express,Tuesday,1458676728,1458677148,False
944,091350_2..S01R,express,Tuesday,1458677021,1458677441,False
944,092300_2..S01R,express,Tuesday,1458677416,1458677836,False
944,092950_2..S01R,express,Tuesday,1458677510,1458677960,False
944,093800_2..S01R,express,Tuesday,1458678172,1458678622,False
944,094450_2..S01R,express,Tuesday,1458678637,1458679087,False
944,093600_3..S01R,express,Tuesday,1458676160,1458676580,False
945,091900_1..S02R,local,Tuesday,1458675937,1458676704,False
945,092400_1..S02R,local,Tuesday,1458676278,1458676968,False
945,092900_1..S02R,local,Tuesday,1458676508,1458677198,False
945,093400_1..S02R,local,Tuesday,1458676856,1458677546,False
945,093900_1..S02R,local,Tuesday,1458677081,1458677771,False
945,094400_1..S02R,local,Tuesday,1458677340,1458678030,False
945,089800_2..S01R,express,Tuesday,1458676297,1458676717,False
945,090550_2..S01R,express,Tuesday,1458676738,1458677158,False
945,091350_2..S01R,express,Tuesday,1458677018,1458677438,False
945,092300_2..S01R,express,Tuesday,1458677406,1458677826,False
945,092950_2..S01R,express,Tuesday,1458677678,1458678128,False
945,093800_2..S01R,express,Tuesday,1458678190,1458678640,False
945,094450_2..S01R,express,Tuesday,1458678489,1458678939,False
945,093600_3..S01R,express,Tuesday,1458675935,1458676601,False
945,094400_3..S01R,express,Tuesday,1458676730,1458677150,False
946,091900_1..S02R,local,Tuesday,1458675959,1458676679,True
946,092400_1..S02R,local,Tuesday,1458676220,1458676910,True
946,092900_1..S02R,local,Tuesday,1458676502,1458677192,True
946,093400_1..S02R,local,Tuesday,1458676877,1458677567,True
946,093900_1..S02R,local,Tuesday,1458677066,1458677756,True
946,094400_1..S02R,local,Tuesday,1458677331,1458678021,True
946,089800_2..S01R,express,Tuesday,1458676307,1458676727,False
946,090550_2..S01R,express,Tuesday,1458676734,1458677154,False
946,091350_2..S01R,express,Tuesday,1458677036,1458677456,False
946,092300_2..S01R,express,Tuesday,1458677406,1458677826,False
946,092950_2..S01R,express,Tuesday,1458677678,1458678128,False
946,093800_2..S01R,express,Tuesday,1458678170,1458678620,False
946,094450_2..S01R,express,Tuesday,1458678466,1458678916,False
946,093600_3..S01R,express,Tuesday,1458675991,1458676601,False
946,094400_3..S01R,express,Tuesday,1458676738,1458677158,False
947,092400_1..S02R,local,Tuesday,1458676243,1458676933,True
947,092900_1..S02R,local,Tuesday,1458676528,1458677218,True
947,093400_1..S02R,local,Tuesday,1458676860,1458677550,True
947,093900_1..S02R,local,Tuesday,1458677128,1458677818,True
947,094400_1..S02R,local,Tuesday,1458677346,1458678036,True
947,094900_1..S02R,local,Tuesday,1458677585,1458678275,True
947,089800_2..S01R,express,Tuesday,1458676046,1458676736,False
947,090550_2..S01R,express,Tuesday,1458676776,1458677196,False
947,091350_2..S01R,express,Tuesday,1458677018,1458677438,False
947,092300_2..S01R,express,Tuesday,1458677383,1458677803,False
